cue	response	domain	source_url
"symphony of a thousand" & "husband of alma schindler"	gustav mahler	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
the concept of "atonalism"	arnold schoenberg	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
"prelude to the afternoon of a faun" & "la mer" & "clair de lune"	claude debussy	french	https://jboard.tv/viewtopic.php?t=343&start=0
"bolero"	maurice ravel	french	https://jboard.tv/viewtopic.php?t=343&start=0
"the carnival of the animals" & "danse macabre"	camille saint-saens	french	https://jboard.tv/viewtopic.php?t=343&start=0
"symphonie fantastique"	hector berlioz	french	https://jboard.tv/viewtopic.php?t=343&start=0
"ave maria"	charles gounod	french	https://jboard.tv/viewtopic.php?t=343&start=0
"the planets"	gustav holst	french	https://jboard.tv/viewtopic.php?t=343&start=0
"pomp and circumstance"	edward elgar	french	https://jboard.tv/viewtopic.php?t=343&start=0
"rhapsody in blue" & "an american in paris"	george gershwin	french	https://jboard.tv/viewtopic.php?t=343&start=0
"appalachian spring" & "rodeo" & "fanfare for the common man"	aaron copland	french	https://jboard.tv/viewtopic.php?t=343&start=0
"grand canyon suite"	ferde grofe	french	https://jboard.tv/viewtopic.php?t=343&start=0
"4?33?" of silence & the american avant-garde	john cage	french	https://jboard.tv/viewtopic.php?t=343&start=0
"1812 overture"	pyotr ilyich tchaikovsky	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"flight of the bumblebee"	nikolai rimsky-korsakov	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"night on bald mountain"	modest mussorgsky	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"peter and the wolf"	sergei prokofiev	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"leningrad symphony"	dmitri shostakovich	russian	https://jboard.tv/viewtopic.php?t=343&start=0
references to the notion of piano virtuosity	sergei rachmaninoff	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"the four seasons"	antonio vivaldi	italian	https://jboard.tv/viewtopic.php?t=343&start=0
references to the notion of violin virtuosity	niccolo paganini	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"accidental automotive scarf/shawl-related death"	isadora duncan	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"modern dance" dancer/choreographer & died in 1991	martha graham	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"rodeo" choreographer & niece of cecil b. de mille	agnes de mille	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"fancy free" choreographer & "west side story"	jerome robbins	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"osage (oklahoma) heritage" & married to george balanchine & sister marjorie	maria tallchief	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"all that jazz" choreographer/director & "cabaret"	bob fosse	italian	https://jboard.tv/viewtopic.php?t=343&start=0
portrait of paul revere & "watson and the shark"	john singleton copley (1738-1815)	american	https://jboard.tv/viewtopic.php?t=343&start=0
early american neoclassicist & "the death of general wolfe"	benjamin west (1738-1820)	american	https://jboard.tv/viewtopic.php?t=343&start=0
had sons named rembrandt, raphaelle, and titian	charles willson peale (1741-1827)	american	https://jboard.tv/viewtopic.php?t=343&start=0
portraits of george washington	gilbert stuart (1755-1828)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"peaceable kingdom"	edward hicks (1780-1849)	american	https://jboard.tv/viewtopic.php?t=343&start=0
bird illustrations	john james audubon (1785-1851)	american	https://jboard.tv/viewtopic.php?t=343&start=0
code/telegraph inventor who was also a painter and photographer	samuel morse (1791-1872)	american	https://jboard.tv/viewtopic.php?t=343&start=0
the hudson river school	thomas cole (1801-1848)	american	https://jboard.tv/viewtopic.php?t=343&start=0
civil war photographer	mathew brady (1822-1896)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"whistler's mother"/"arrangement in grey and black, no. 2"	james whistler (1834-1903)	american	https://jboard.tv/viewtopic.php?t=343&start=0
seascapes	winslow homer (1836-1910)	american	https://jboard.tv/viewtopic.php?t=343&start=0
political cartoons	thomas nast (1840-1902)	american	https://jboard.tv/viewtopic.php?t=343&start=0
american impressionist	mary cassatt (1844-1926)	american	https://jboard.tv/viewtopic.php?t=343&start=0
philadelphia painter & "the gross clinic"	thomas eakins (1844-1916)	american	https://jboard.tv/viewtopic.php?t=343&start=0
lincoln memorial & "minute man" sculpture	daniel chester french (1850-1931)	american	https://jboard.tv/viewtopic.php?t=343&start=0
portraits of the socially prominent	john singer sargent (1856-1925)	american	https://jboard.tv/viewtopic.php?t=343&start=0
old lady painter	grandma moses (1860-1961)	american	https://jboard.tv/viewtopic.php?t=343&start=0
wild west sculptures	frederic remington (1861-1909)	american	https://jboard.tv/viewtopic.php?t=343&start=0
montana cowboy sculptor who isn't frederic remington	charles marion russell (1864-1926)	american	https://jboard.tv/viewtopic.php?t=343&start=0
the ashcan school	robert henri (1865-1929)	american	https://jboard.tv/viewtopic.php?t=343&start=0
mt. rushmore & stone mountain	gutzon borglum (1867-1941)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"gibson girl"	charles dana gibson (1867-1944)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"nighthawks"	edward hopper (1882-1967)	american	https://jboard.tv/viewtopic.php?t=343&start=0
andrew wyeth's father	newell convers "n.c." wyeth (1882-1945)	american	https://jboard.tv/viewtopic.php?t=343&start=0
american southwest & flowers & cow skulls	georgia o'keeffe (1887-1986)	american	https://jboard.tv/viewtopic.php?t=343&start=0
missouri-born muralist	thomas hart benton (1889-1975)	american	https://jboard.tv/viewtopic.php?t=343&start=0
dada photographer	man ray (1890-1976)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"american gothic" & iowa	grant wood (1891-1942)	american	https://jboard.tv/viewtopic.php?t=343&start=0
saturday evening post	norman rockwell (1894-1978)	american	https://jboard.tv/viewtopic.php?t=343&start=0
depression photographer	dorothea lange (1895-1965)	american	https://jboard.tv/viewtopic.php?t=343&start=0
mobiles	alexander calder (1898-1976)	american	https://jboard.tv/viewtopic.php?t=343&start=0
nature photographer	ansel adams (1902-1984)	american	https://jboard.tv/viewtopic.php?t=343&start=0
russian-born abstract painter of bands of color	mark rothko (1903-1970)	american	https://jboard.tv/viewtopic.php?t=343&start=0
life magazine photojournalist	margaret bourke-white (1904-1971)	american	https://jboard.tv/viewtopic.php?t=343&start=0
wife of jackson pollock	lee krasner (1908-1984)	american	https://jboard.tv/viewtopic.php?t=343&start=0
abstract-expressionist drip painter	jackson pollock (1912-1956)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"christina's world" & helga	andrew wyeth (1917-2009)	american	https://jboard.tv/viewtopic.php?t=343&start=0
sports artist	leroy neiman (1921-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
freak photographer	diane arbus (1923-1971)	american	https://jboard.tv/viewtopic.php?t=343&start=0
blown-up comic books	roy lichtenstein (1923-1997)	american	https://jboard.tv/viewtopic.php?t=343&start=0
macabre illustrations	edward gorey (1925-2000)	american	https://jboard.tv/viewtopic.php?t=343&start=0
non-traditional materials	robert rauschenberg (1925-2008)	american	https://jboard.tv/viewtopic.php?t=343&start=0
pop art	andy warhol (1928-1987)	american	https://jboard.tv/viewtopic.php?t=343&start=0
swedish-born pop sculptor of giant versions of common objects	claes oldenburg (1929-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"three flags"	jasper johns (1930-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"the dinner party"	judy chicago (1939-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
obscenity	robert mapplethorpe (1946-1989)	american	https://jboard.tv/viewtopic.php?t=343&start=0
rolling stone celebrity photographer	annie leibovitz (1949-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
self-portrait photographer	cindy sherman (1954-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
nyc street art	keith haring (1958-1990)	american	https://jboard.tv/viewtopic.php?t=343&start=0
"painter of light"	thomas kinkade (1958-)	american	https://jboard.tv/viewtopic.php?t=343&start=0
haitian-american graffiti artist	jean-michel basquiat (1960-1988)	american	https://jboard.tv/viewtopic.php?t=343&start=0
5th century bc greek sculptor & statue of zeus at olympia	phidias (5th century bc)	greek	https://jboard.tv/viewtopic.php?t=343&start=0
5th century bc greek sculptor & "discobolus" (the discus thrower)	myron (5th century bc)	greek	https://jboard.tv/viewtopic.php?t=343&start=0
4th century bc greek sculptor & aphrodite of cnidus	praxiteles (4th century bc)	greek	https://jboard.tv/viewtopic.php?t=343&start=0
florentine forerunner of the renaissance	giotto di bondone (1267-1337)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
bronze doors of the florentine baptistry	lorenzo ghiberti (1378-1455)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
the other "david" sculptor	donatello (1386-1466)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
monastic florentine fresco painter	fra filippo lippi (1406-1469)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"the birth of venus" & "primavera"	sandro botticelli (1445-1510)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"mona lisa" & "last supper"	leonardo da vinci (1452-1519)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"sistine chapel" & "david"	michelangelo buonarroti (1475-1564)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"school of athens"	raphael (1483-1520)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
the subject of a robert browning poem	andrea del sarto (1486-1531)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
venetian painter of nudes	titian (1490-1576)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
florentine sculptor of perseus holding medusa's head	benvenuto cellini (1500-1571)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
mannerist & "self-portrait in a convex mirror"	parmigianino (1503-1540)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
venetian whose name means "little dyer"	tintoretto (1518-1594)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"bacchus"	caravaggio (1571-1610)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
st. peter's basilica	gian lorenzo bernini (1598-1680)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
venetian landscapes	canaletto (1697-1768)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
elongated women	amedeo modigliani (1884-1920)	italian	https://jboard.tv/viewtopic.php?t=343&start=0
"ghent altarpiece"	jan van eyck (1395-1441)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
"landscape with the fall of icarus"	peter bruegel the elder (1525-1569)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
nicknamed "hell"	peter bruegel the younger (1564-1636)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
flemish painter of large women	peter paul rubens (1577-1640)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
the beard & court painter for charles i	anthony van dyck (1599-1641)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
belgian surrealist & bowler hats	rene magritte (1898-1967)	flemish/belgian	https://jboard.tv/viewtopic.php?t=343&start=0
"garden of earthly delights" triptych	hieronymus bosch (1450-1516)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
"laughing cavalier" & "jolly toper"	frans hals (1580-1666)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
"girl with a pearl earring"	johannes vermeer (1632-1675)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
cafe" & "the potato eaters"	vincent van gogh (1853-1890)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
de stijl & "broadway boogie woogie"	piet mondrian (1872-1944)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
optical illusions	m.c. escher (1898-1972)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
dutch-american abstract expressionist	willem de kooning (1904-1997)	dutch	https://jboard.tv/viewtopic.php?t=343&start=0
father of hans holbein the younger	hans holbein the elder (1460–1524)	german	https://jboard.tv/viewtopic.php?t=343&start=0
"self-portrait" (1500)	albrecht durer (1471-1528)	german	https://jboard.tv/viewtopic.php?t=343&start=0
portraitist for henry viii	hans holbein the younger (1498–1543)	german	https://jboard.tv/viewtopic.php?t=343&start=0
born on crete & "view of toledo"	el greco (1541-1614)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
"las meninas" & court painter to king philip iv	diego velazquez (1599-1660)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
"the third of may 1808" & "naked maja" & "the duchess of alba"	francisco goya (1746-1828)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
founder of cubism & "les demoiselles d'avignon" & "guernica"	pablo picasso (1881-1973)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
non-picasso spanish cubist	juan gris (1887-1927)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
barcelona surrealist	joan miro (1893-1983)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
founder of surrealism & "the persistence of memory"	salvador dali (1904-1989)	spanish	https://jboard.tv/viewtopic.php?t=343&start=0
rococo & "pilgrimage to cythera"	antoine watteau (1684-1721)	french	https://jboard.tv/viewtopic.php?t=343&start=0
rococo & "the swing"	jean-honore fragonard (1732-1806)	french	https://jboard.tv/viewtopic.php?t=343&start=0
sculpture of voltaire	jean-antoine houdon (1741-1828)	french	https://jboard.tv/viewtopic.php?t=343&start=0
court painter to napoleon & "death of marat" & "the oath of the horatii"	jacques-louis david (1748-1825)	french	https://jboard.tv/viewtopic.php?t=343&start=0
"the raft of the medusa"	theodore gericault (1791-1824)	french	https://jboard.tv/viewtopic.php?t=343&start=0
"liberty leading the people"	eugene delacroix (1798-1863)	french	https://jboard.tv/viewtopic.php?t=343&start=0
the barbizon school & "the gleaners"	jean-francois millet (1814-1875)	french	https://jboard.tv/viewtopic.php?t=343&start=0
leader of realism movement	gustave courbet (1819-1877)	french	https://jboard.tv/viewtopic.php?t=343&start=0
at every impressionist exhibition	camille pissarro (1830-1903)	french	https://jboard.tv/viewtopic.php?t=343&start=0
"luncheon on the grass" & "olympia" & "bar at the folies-bergere"	edouard manet (1832-1883)	french	https://jboard.tv/viewtopic.php?t=343&start=0
paintings of dancers	edgar degas (1834-1917)	french	https://jboard.tv/viewtopic.php?t=343&start=0
statue of liberty	frederic bartholdi (1834-1904)	french	https://jboard.tv/viewtopic.php?t=343&start=0
postimpressionist father of modern art & still lifes & "mont sainte-victoire" & "bathers"	paul cezanne (1839-1906)	french	https://jboard.tv/viewtopic.php?t=343&start=0
"the thinker" & "the kiss" (sculpture) & "the burghers of calais" & "the gates of hell"	auguste rodin (1840-1917)	french	https://jboard.tv/viewtopic.php?t=343&start=0
founder of impressionism & "impression: sunrise" & "water lilies" & giverny	claude monet (1840-1926)	french	https://jboard.tv/viewtopic.php?t=343&start=0
first female impressionist & sister-in-law of manet	berthe morisot (1841-1895)	french	https://jboard.tv/viewtopic.php?t=343&start=0
father of director jean renoir	pierre-auguste renoir (1841-1919)	french	https://jboard.tv/viewtopic.php?t=343&start=0
primitivism	henri rousseau (1844-1910)	french	https://jboard.tv/viewtopic.php?t=343&start=0
tahiti & "where do we come from? what are we? where are we going?"	paul gauguin (1848-1903)	french	https://jboard.tv/viewtopic.php?t=343&start=0
pointillism & "a sunday afternoon on the island of la grande jatte"	georges seurat (1859-1891)	french	https://jboard.tv/viewtopic.php?t=343&start=0
shortness & "at the moulin rouge"	henri de toulouse-lautrec (1864-1901)	french	https://jboard.tv/viewtopic.php?t=343&start=0
fauvism & "joie de vivre"	henri matisse (1869-1954)	french	https://jboard.tv/viewtopic.php?t=343&start=0
french cubist	georges braque (1882-1963)	french	https://jboard.tv/viewtopic.php?t=343&start=0
dada & "nude descending a staircase" & "fountain" urinal & mustachioed mona lisa	marcel duchamp (1887-1968)	french	https://jboard.tv/viewtopic.php?t=343&start=0
"the rake's progress"	william hogarth (1697-1764)	british	https://jboard.tv/viewtopic.php?t=343&start=0
portraitist & first president of the royal academy of arts	joshua reynolds (1723-1792)	british	https://jboard.tv/viewtopic.php?t=343&start=0
"the blue boy"	thomas gainsborough (1727-1788)	british	https://jboard.tv/viewtopic.php?t=343&start=0
landscapes & seascapes	j.m.w. turner (1775-1851)	british	https://jboard.tv/viewtopic.php?t=343&start=0
landscapes & "the haywain"	john constable (1776-1837)	british	https://jboard.tv/viewtopic.php?t=343&start=0
pre-raphaelite	dante gabriel rossetti (1828-1882)	british	https://jboard.tv/viewtopic.php?t=343&start=0
art noveau illustrator	aubrey beardsley (1872-1898)	british	https://jboard.tv/viewtopic.php?t=343&start=0
british sculptor	henry moore (1898-1986)	british	https://jboard.tv/viewtopic.php?t=343&start=0
controversial painter & descendant of the 17th century essayist	francis bacon (1909-1992)	british	https://jboard.tv/viewtopic.php?t=343&start=0
painter grandson of sigmund freud	lucian freud (1922-)	british	https://jboard.tv/viewtopic.php?t=343&start=0
paintings of swimmers/swimming pools	david hockney (1937-)	british	https://jboard.tv/viewtopic.php?t=343&start=0
"the kiss" (painting)	gustav klimt (1862-1918)	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
"the scream"	edvard munch (1863-1944)	norwegian	https://jboard.tv/viewtopic.php?t=343&start=0
abstract russian	wassily kandinsky (1866-1944)	russian	https://jboard.tv/viewtopic.php?t=343&start=0
jewish russian	marc chagall (1887-1985)	russian	https://jboard.tv/viewtopic.php?t=343&start=0
romanian sculptor	constantin brancusi (1876-1957)	romanian	https://jboard.tv/viewtopic.php?t=343&start=0
swiss painter	paul klee (1879-1940)	swiss	https://jboard.tv/viewtopic.php?t=343&start=0
swiss sculptor	alberto giacometti (1901-1966)	swiss	https://jboard.tv/viewtopic.php?t=343&start=0
mexican muralist & husband of frida kahlo	diego rivera (1886-1957)	mexican	https://jboard.tv/viewtopic.php?t=343&start=0
mexican painter & wife of diego rivera	frida kahlo (1907-1954)	mexican	https://jboard.tv/viewtopic.php?t=343&start=0
south american sculptor	marisol escobar (1930-)	venezuelan	https://jboard.tv/viewtopic.php?t=343&start=0
wrap artist	christo (1935-)	bulgarian	https://jboard.tv/viewtopic.php?t=343&start=0
king of the gods	zeus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
queen of the gods & goddess of marriage & peacock lover	hera	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sea and earthquakes	poseidon	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the underworld	hades	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of love & wife of hephaestus	aphrodite	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of love	eros	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of metalworking & husband of aphrodite	hephaestus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of war & had fling with aphrodite	ares	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of wisdom & owl lover	athena	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the hunt, chastity, and childbirth & twin sister of apollo & virginal goddess	artemis	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sun, music, prophecy, shepherds, and archery & twin brother of artemis	apollo	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of grain and the harvest	demeter	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of wine	dionysus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
messenger of the gods & winged sandals & caduceus staff	hermes	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the hearth	hestia	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the underworld & daughter of demeter & pomegranate seeds	persephone	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
messenger of the sea & son of poseidon & conch shell trumpet	triton	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of victory	nike	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sun & colossus of rhodes	helios	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
son of helios & crashed helios's chariot	phaeton	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the moon	selene	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the rainbow	iris	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddesses of vengeance & aka the eumenides	the furies	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of woods and pastures & pan pipe & satyr/goat	pan	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the winds	aeolus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the west wind & son of aeolus	zephyrus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of medicine	asclepius	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of sleep	hypnos	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of dreams	morpheus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of death	thanatos	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
embodiment of fear & son of ares and aphrodite	phobos	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
embodiment of terror & son of ares and aphrodite	deimos	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
shape-shifting god	proteus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
many-breasted pre-hellenic cult image of artemis	artemis of ephesus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
father of the titans & god of the sky	uranus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
mother of the titans & goddess of the earth	gaia	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan father of zeus (who deposed him) & deposed uranus	cronus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan mother of zeus	rhea	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan goddess of memory & mother of the muses	mnemosyne	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan holding up the heavens & brother of prometheus	atlas	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan fire stealer & brother of atlas	prometheus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
titan brother of prometheus & husband of pandora	epimetheus	greek gods	https://jboard.tv/viewtopic.php?t=343&start=0
king of the gods	jupiter	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
queen of the gods & goddess of marriage	juno	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sea and earthquakes	neptune	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the underworld	pluto	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of love & wife of vulcan	venus	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of love	cupid	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of metalworking & husband of venus	vulcan	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of war & had fling with venus	mars	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of wisdom & owl lover	minerva	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the hunt, chastity, and childbirth	diana	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sun	phoebus	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of grain and the harvest	ceres	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of wine	bacchus	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
messenger of the gods & winged sandals & caduceus staff	mercury	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the hearth & vestal virgins	vesta	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the underworld & daughter of ceres & pomegranate seeds	proserpina	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the dawn	aurora	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the moon	luna	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
god of agriculture & roman equivalent to cronus	saturn	roman gods	https://jboard.tv/viewtopic.php?t=343&start=0
abducted helen & judgement of paris (aphrodite, athena, hera)	paris	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
famed beauty & abducted by paris & wife of menelaus & sister of castor and pollux	helen	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
greatest greek warrior of trojan war & achilles's heel vulnerability & son of thetis	achilles	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
friend of achilles	patroclus	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
large, slow-witted greek warrior in trojan war	ajax	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
greatest trojan warrior of trojan war & killed patroclus & killed by achilles	hector	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
main guy of homer's "odyssey" & aka ulysses	odysseus	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
main guy of virgil's "aeneid" & trojan warrior who founded rome	aeneas	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
king of troy & father of paris, hector, cassandra	priam	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
queen of troy & mother of paris, hector, cassandra	hecuba	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
trojan prophetess doomed to be disbelieved	cassandra	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
queen of the amazons & slain by achilles	penthesilea	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
husband of helen & brother of agamemnon	menelaus	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
leader of the greeks in trojan war & sacrificed daughter iphigenia & murdered by wife clytemnestra	agamemnon	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
sacrificed by father agamemnon & daughter of clytemnestra & sister of orestes	iphigenia	trojan war participants	https://jboard.tv/viewtopic.php?t=343&start=0
hero who performed twelve labors	hercules	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
beheaded medusa & rescued andromeda	perseus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
princess chained to a rock as sacrifice to sea monster & rescued by perseus	andromeda	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
